,id_site,no_couche,carbone_16_5_1,ph_eau_6_1,soil_composition,desc_code_occupation1,desc_code_occupation3,x_theo,y_theo
0,6,1,12.92,8.16,0.5,successions culturales,grandes cultures et prairies courte duree,652326.99,7101219.71
1,6,2,5.247,8.42,0.624,successions culturales,grandes cultures et prairies courte duree,652326.99,7101219.71
2,7,1,14.3,8.2,0.552,successions culturales,systeme de rotations sans prairie sans interculture,668319.25,7101085.53
3,7,2,7.45,8.3,0.85,successions culturales,systeme de rotations sans prairie sans interculture,668319.25,7101085.53
4,8,1,37.513,7.56,0.674,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,604216.81,7085629.01
5,8,2,6.891,8.33,0.786,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,604216.81,7085629.01
6,9,1,9.502,8.05,0.859,successions culturales,systeme de rotations sans prairie avec interculture,620208.83,7085495.39
7,9,2,5.034,8.03,0.89,successions culturales,systeme de rotations sans prairie avec interculture,620208.83,7085495.39
8,10,1,12.768,6.62,0.92,successions culturales,systeme de rotations sans prairie sans interculture,636200.84,7085361.59
9,10,2,6.354,7.21,0.886,successions culturales,systeme de rotations sans prairie sans interculture,636200.84,7085361.59
10,11,1,16.868,7.5,0.815,successions culturales,systeme de rotations sans prairie avec interculture,652192.84,7085227.59
11,11,2,6.639,6.11,0.832,successions culturales,systeme de rotations sans prairie avec interculture,652192.84,7085227.59
12,12,1,29.652,7.45,0.723,successions culturales,jachere fixe,668184.88,7085093.38
13,12,2,7.362,7.48,0.729,successions culturales,jachere fixe,668184.88,7085093.38
14,16,1,32.598,6.2,0.691,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,604083.36,7069637.17
15,16,2,16.738,6.2,0.704,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,604083.36,7069637.17
16,17,1,42.333,5.66,0.623,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,620075.13,7069503.54
17,17,2,11.039,6.93,0.631,surfaces toujours en herbe,STH > 10 ans naturelle ou semee,620075.13,7069503.54
18,18,1,11.162,8.0,0.903,successions culturales,systeme de rotations sans prairie avec interculture,636066.89,7069369.71
19,18,2,4.262,7.87,0.882,successions culturales,systeme de rotations sans prairie avec interculture,636066.89,7069369.71
20,19,1,10.964,8.01,0.895,successions culturales,systeme de rotations sans prairie sans interculture,652058.67,7069235.66
21,19,2,4.885,7.84,0.918,successions culturales,systeme de rotations sans prairie sans interculture,652058.67,7069235.66
22,20,1,19.87,6.6,0.835,successions culturales,systeme de rotations sans prairie sans interculture,668050.51,7069101.41
23,20,2,8.26,7.5,0.814,successions culturales,systeme de rotations sans prairie sans interculture,668050.51,7069101.41
24,21,1,12.497,7.54,0.865,successions culturales,systeme de rotations sans prairie sans interculture,684042.41,7068966.98
